observation_date,AAA
1981-05-01,14.32
1981-06-01,13.75
1981-07-01,14.38
1981-08-01,14.89
1981-09-01,15.49
1981-10-01,15.40
1981-11-01,14.22
1981-12-01,14.23
1982-01-01,15.18
1982-02-01,15.27
1982-03-01,14.58
1982-04-01,14.46
1982-05-01,14.26
1982-06-01,14.81
1982-07-01,14.61
1982-08-01,13.71
1982-09-01,12.94
1982-10-01,12.12
1982-11-01,11.68
1982-12-01,11.83
1983-01-01,11.79
1983-02-01,12.01
1983-03-01,11.73
1983-04-01,11.51
1983-05-01,11.46
1983-06-01,11.74
1983-07-01,12.15
1983-08-01,12.51
1983-09-01,12.37
1983-10-01,12.25
1983-11-01,12.41
1983-12-01,12.57
1984-01-01,12.20
1984-02-01,12.08
1984-03-01,12.57
1984-04-01,12.81
1984-05-01,13.28
1984-06-01,13.55
1984-07-01,13.44
1984-08-01,12.87
1984-09-01,12.66
1984-10-01,12.63
1984-11-01,12.29
1984-12-01,12.13
1985-01-01,12.08
1985-02-01,12.13
1985-03-01,12.56
1985-04-01,12.23
1985-05-01,11.72
1985-06-01,10.94
1985-07-01,10.97
1985-08-01,11.05
1985-09-01,11.07
1985-10-01,11.02
1985-11-01,10.55
1985-12-01,10.16
1986-01-01,10.05
1986-02-01,9.67
1986-03-01,9.00
1986-04-01,8.79
1986-05-01,9.09
1986-06-01,9.13
1986-07-01,8.88
1986-08-01,8.72
1986-09-01,8.89
1986-10-01,8.86
1986-11-01,8.68
1986-12-01,8.49
1987-01-01,8.36
1987-02-01,8.38
1987-03-01,8.36
1987-04-01,8.85
1987-05-01,9.33
1987-06-01,9.32
1987-07-01,9.42
1987-08-01,9.67
1987-09-01,10.18
1987-10-01,10.52
1987-11-01,10.01
1987-12-01,10.11
1988-01-01,9.88
1988-02-01,9.40
1988-03-01,9.39
1988-04-01,9.67
1988-05-01,9.90
1988-06-01,9.86
1988-07-01,9.96
1988-08-01,10.11
1988-09-01,9.82
1988-10-01,9.51
1988-11-01,9.45
1988-12-01,9.57
1989-01-01,9.62
1989-02-01,9.64
1989-03-01,9.80
1989-04-01,9.79
1989-05-01,9.57
1989-06-01,9.10
1989-07-01,8.93
1989-08-01,8.96
1989-09-01,9.01
1989-10-01,8.92
1989-11-01,8.89
1989-12-01,8.86
1990-01-01,8.99
1990-02-01,9.22
1990-03-01,9.37
1990-04-01,9.46
1990-05-01,9.47
1990-06-01,9.26
1990-07-01,9.24
1990-08-01,9.41
1990-09-01,9.56
1990-10-01,9.53
1990-11-01,9.30
1990-12-01,9.05
1991-01-01,9.04
1991-02-01,8.83
1991-03-01,8.93
1991-04-01,8.86
1991-05-01,8.86
1991-06-01,9.01
1991-07-01,9.00
1991-08-01,8.75
1991-09-01,8.61
1991-10-01,8.55
1991-11-01,8.48
1991-12-01,8.31
1992-01-01,8.20
1992-02-01,8.29
1992-03-01,8.35
1992-04-01,8.33
1992-05-01,8.28
1992-06-01,8.22
1992-07-01,8.07
1992-08-01,7.95
1992-09-01,7.92
1992-10-01,7.99
1992-11-01,8.10
1992-12-01,7.98
1993-01-01,7.91
1993-02-01,7.71
1993-03-01,7.58
1993-04-01,7.46
1993-05-01,7.43
1993-06-01,7.33
1993-07-01,7.17
1993-08-01,6.85
1993-09-01,6.66
1993-10-01,6.67
1993-11-01,6.93
1993-12-01,6.93
1994-01-01,6.92
1994-02-01,7.08
1994-03-01,7.48
1994-04-01,7.88
1994-05-01,7.99
1994-06-01,7.97
1994-07-01,8.11
1994-08-01,8.07
1994-09-01,8.34
1994-10-01,8.57
1994-11-01,8.68
1994-12-01,8.46
1995-01-01,8.46
1995-02-01,8.26
1995-03-01,8.12
1995-04-01,8.03
1995-05-01,7.65
1995-06-01,7.30
1995-07-01,7.41
1995-08-01,7.57
1995-09-01,7.32
1995-10-01,7.12
1995-11-01,7.02
1995-12-01,6.82
1996-01-01,6.81
1996-02-01,6.99
1996-03-01,7.35
1996-04-01,7.50
1996-05-01,7.62
1996-06-01,7.71
1996-07-01,7.65
1996-08-01,7.46
1996-09-01,7.66
1996-10-01,7.39
1996-11-01,7.10
1996-12-01,7.20
1997-01-01,7.42
1997-02-01,7.31
1997-03-01,7.55
1997-04-01,7.73
1997-05-01,7.58
1997-06-01,7.41
1997-07-01,7.14
1997-08-01,7.22
1997-09-01,7.15
1997-10-01,7.00
1997-11-01,6.87
1997-12-01,6.76
1998-01-01,6.61
1998-02-01,6.67
1998-03-01,6.72
1998-04-01,6.69
1998-05-01,6.69
1998-06-01,6.53
1998-07-01,6.55
1998-08-01,6.52
1998-09-01,6.40
1998-10-01,6.37
1998-11-01,6.41
1998-12-01,6.22
1999-01-01,6.24
1999-02-01,6.40
1999-03-01,6.62
1999-04-01,6.64
1999-05-01,6.93
1999-06-01,7.23
1999-07-01,7.19
1999-08-01,7.40
1999-09-01,7.39
1999-10-01,7.55
1999-11-01,7.36
1999-12-01,7.55
2000-01-01,7.78
2000-02-01,7.68
2000-03-01,7.68
2000-04-01,7.64
2000-05-01,7.99
2000-06-01,7.67
2000-07-01,7.65
2000-08-01,7.55
2000-09-01,7.62
2000-10-01,7.55
2000-11-01,7.45
2000-12-01,7.21
2001-01-01,7.15
2001-02-01,7.10
2001-03-01,6.98
2001-04-01,7.20
2001-05-01,7.29
2001-06-01,7.18
2001-07-01,7.13
2001-08-01,7.02
2001-09-01,7.17
2001-10-01,7.03
2001-11-01,6.97
2001-12-01,6.77
2002-01-01,6.55
2002-02-01,6.51
2002-03-01,6.81
2002-04-01,6.76
2002-05-01,6.75
2002-06-01,6.63
2002-07-01,6.53
2002-08-01,6.37
2002-09-01,6.15
2002-10-01,6.32
2002-11-01,6.31
2002-12-01,6.21
2003-01-01,6.17
2003-02-01,5.95
2003-03-01,5.89
2003-04-01,5.74
2003-05-01,5.22
2003-06-01,4.97
2003-07-01,5.49
2003-08-01,5.88
2003-09-01,5.72
2003-10-01,5.70
2003-11-01,5.65
2003-12-01,5.62
2004-01-01,5.54
2004-02-01,5.50
2004-03-01,5.33
2004-04-01,5.73
2004-05-01,6.04
2004-06-01,6.01
2004-07-01,5.82
2004-08-01,5.65
2004-09-01,5.46
2004-10-01,5.47
2004-11-01,5.52
2004-12-01,5.47
2005-01-01,5.36
2005-02-01,5.20
2005-03-01,5.40
2005-04-01,5.33
2005-05-01,5.15
2005-06-01,4.96
2005-07-01,5.06
2005-08-01,5.09
2005-09-01,5.13
2005-10-01,5.35
2005-11-01,5.42
2005-12-01,5.37
2006-01-01,5.29
2006-02-01,5.35
2006-03-01,5.53
2006-04-01,5.84
2006-05-01,5.95
2006-06-01,5.89
2006-07-01,5.85
2006-08-01,5.68
2006-09-01,5.51
2006-10-01,5.51
2006-11-01,5.33
2006-12-01,5.32
2007-01-01,5.40
2007-02-01,5.39
2007-03-01,5.30
2007-04-01,5.47
2007-05-01,5.47
2007-06-01,5.79
2007-07-01,5.73
2007-08-01,5.79
2007-09-01,5.74
2007-10-01,5.66
2007-11-01,5.44
2007-12-01,5.49
2008-01-01,5.33
2008-02-01,5.53
2008-03-01,5.51
2008-04-01,5.55
2008-05-01,5.57
2008-06-01,5.68
2008-07-01,5.67
2008-08-01,5.64
2008-09-01,5.65
2008-10-01,6.28
2008-11-01,6.12
2008-12-01,5.05
2009-01-01,5.05
2009-02-01,5.27
2009-03-01,5.50
2009-04-01,5.39
2009-05-01,5.54
2009-06-01,5.61
2009-07-01,5.41
2009-08-01,5.26
2009-09-01,5.13
2009-10-01,5.15
2009-11-01,5.19
2009-12-01,5.26
2010-01-01,5.26
2010-02-01,5.35
2010-03-01,5.27
2010-04-01,5.29
2010-05-01,4.96
2010-06-01,4.88
2010-07-01,4.72
2010-08-01,4.49
2010-09-01,4.53
2010-10-01,4.68
2010-11-01,4.87
2010-12-01,5.02
2011-01-01,5.04
2011-02-01,5.22
2011-03-01,5.13
2011-04-01,5.16
2011-05-01,4.96
2011-06-01,4.99
2011-07-01,4.93
2011-08-01,4.37
2011-09-01,4.09
2011-10-01,3.98
2011-11-01,3.87
2011-12-01,3.93
2012-01-01,3.85
